Parent UEI or fallback key,Display name,Total $M,Sub action count,% of total
HYNSUU4GPWA9,"GLOBAL EXECUTIVE SOLUTIONS, LLC",5.48,11,0.05%
HQYTCMF5RGE4,SHERBURN ELECTRONICS INC.,5.47,72,0.05%
HSV2N9ACRTJ6,EMERSON AUTOMATION SOLUTIONS FINAL CONTROL US LP,5.34,47,0.05%
C8TMP34LW2L6,EVEREST KANTO CYLINDER LIMITED,5.25,7,0.05%
GFCUEMH2CGN1,RIVERHEAD BUILDING SUPPLY CORP.,5.23,39,0.05%
GN2LGJWUVKJ7,"NAKOA COMPANIES, INC., THE",5.18,4,0.05%
EVP4KM37YU23,CLEVELAND-CLIFFS INC.,5.13,20,0.05%
MU3CM1145E44,PROGENY SYSTEMS CORPORATION,5.09,9,0.05%
W1LDBNHD4EM7,SCHLUMBERGER TECHNOLOGY CORPORATION,4.97,24,0.05%
E86EYMJR23D1,"MELLINGER ENGINEERING, INCORPORATED",4.95,20,0.05%
PNQKKYEK31E3,BAE SYSTEMS HOLDINGS INC.,4.89,3,0.05%
XTYYPELG5MQ7,"PENNSYLVANIA MACHINE WORKS, INC.",4.67,68,0.04%
QB7EKDNK2E83,SHELBY SUPPLY COMPANY LLC,4.63,46,0.04%
E3YNKWRANZ18,"AQUA-CHEM, INC.",4.59,4,0.04%
K6LKL4BYZGZ6,TRILOGIC SYSTEMS CORPORATION,4.58,34,0.04%
FH39KDCYBK21,"HTP MEDS, LLC",4.48,9,0.04%
EDNNTCM7SUS8,"INTERNATIONAL MARINE AND INDUSTRIAL APPLICATORS, LLC",4.45,21,0.04%
FFXKK2MMEM97,"PARADIGM PRECISION HOLDINGS, LLC",4.42,24,0.04%
PJRYS7EFXQD9,"B.N.L. INDUSTRIES, INC.",4.38,34,0.04%
LNGAZMTYJPL3,THE ENTWISTLE COMPANY LLC,4.37,9,0.04%
H8CSTCGGDD87,STRYTEN ENERGY LLC,4.36,1,0.04%
ZL41ERXMPAR3,"LEIDOS HOLDINGS, INC.",4.34,12,0.04%
D1L2HV3GLLY3,TIOGA PIPE INC,4.24,8,0.04%
RG8HFHKSV215,PDS ENGINEERING & CONSTRUCTION INC,4.21,4,0.04%
LYV8XEV314F6,UNIVERSAL MANUFACTURING CORP.,4.2,4,0.04%
VLY1XBVNLJK8,EVONIK CORPORATION,4.19,23,0.04%
MVJ8B69F5CL6,"RIGGINS COMPANY, L.C.",4.18,19,0.04%
WNDYZX3ALFB1,"SOURCE CODE MIDCO, LLC",4.15,20,0.04%
ZMZ2U6BJ1XC2,RIESBECK CONTRACTING INC,4.08,25,0.04%
N6JZARL64EW5,"MCKINSEY & COMPANY, INC. WASHINGTON D.C.",4.0,1,0.04%
DR3FAZLZ8624,OLYMPIC PENINSULA PERSONNEL INC,3.94,6,0.04%
YA7EN5YYJYS8,"APOLLO PROFESSIONAL SOLUTIONS, INC.",3.93,38,0.04%
KWHXKLAL87T5,"IN-PLACE MACHINING COMPANY, LLC",3.93,9,0.04%
HTR5K76FMH84,"FEDERAL BRONZE CASTING INDUSTRIES, INC.",3.65,21,0.03%
EYMMLMHBMSL5,"SGL AUTOMATION, LLC",3.54,3,0.03%
KHCHNNS9E3R5,"KFT INTERNATIONAL, LLC",3.53,11,0.03%
CDP4EDVLFNX9,NORTECH SYSTEMS INC,3.51,2,0.03%
GL28JS5V3DL3,GOODWIN PLC,3.49,2,0.03%
PPLZG8J3N9D4,RAYTHEON TECHNOLOGIES CORPORATION,3.46,25,0.03%
C6C8KS7Y1K76,MIDE TECHNOLOGY CORP,3.42,1,0.03%
H4NUSZNWG4K6,"SOUND MECHANICAL, INC.",3.39,20,0.03%
FLU4K8MGMZX7,AMERICAST TECHNOLOGIES INC,3.37,23,0.03%
REXPSJ7NAHU8,DERBYSHIRE MACHINE & TOOL CO,3.36,58,0.03%
QT9LCNSYE637,MATERION CORPORATION,3.35,18,0.03%
ZW3UMG9YVNA9,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC.",3.33,26,0.03%
HQ19YHLBS985,GARDNER DENVER NASH LLC,3.29,6,0.03%
MXTJBDD1L4T4,"TAYLOR DEVICES, INC.",3.25,8,0.03%
T5C6JNLVSC17,HYDRATIGHT OPERATIONS INC,3.25,13,0.03%
JCXDK86FK3L5,FEDERAL METAL CO,3.24,2,0.03%
CN4DJZSKM3Y3,"PENNSYLVANIA MACHINE WORKS, INC.",3.23,96,0.03%
WJ1XMJMTSYL9,"PAROSCIENTIFIC, INC.",3.22,24,0.03%
NXGLEN3CK1N6,"DATACON, INC.",3.19,15,0.03%
ULZEK7HDMS57,"HYDRASEARCH COMPANY, LLC",3.19,39,0.03%
LD7YXEQNEKZ3,"LINCOLN ELECTRIC AUTOMATION, INC.",3.19,5,0.03%
EVZMB1757DW5,"STEELFAB, INC",3.17,4,0.03%
F17YKE4BDQS4,"DYNAMIC PRECISION GROUP, INC.",3.14,36,0.03%
MKRBJA6JXXS7,EMERSON AUTOMATION SOLUTIONS FINAL CONTROL US LP,3.12,66,0.03%
EYP9DXW18FY9,"W.R. ALLEN & CO., INC.",3.07,22,0.03%
MH4FDVBB4G88,WILLSCOT MOBILE MINI HOLDINGS CORP.,3.05,20,0.03%
PM5WJ7WYPX53,CUBE MOBILE POWER HOLDCO LIMITED,2.96,32,0.03%
U5K7DSV5D3U7,"BARBER-NICHOLS, LLC",2.9,1,0.03%
TCCLSQU7ZMW5,ITT CANNON LLC,2.9,8,0.03%
WH4HRFKKT8U6,"ROMAC INDUSTRIES, INC.",2.89,20,0.03%
