supplier,n_blocks_served,blocks_served,reported_$m,n_subawards,top_swbs_system
"ARC TECHNOLOGIES, INC.",2,FY11 single-ship; FY13-17 MYP,0.5,5,(unmapped)
THE LOUISIANA ASSOCIATION FOR THE BLIND,2,FY11 single-ship; FY13-17 MYP,0.5,7,(unmapped)
HOWDEN AMERICAN FAN COMPANY,2,FY13-17 MYP; FY18-22 MYP,0.5,6,(unmapped)
SFC VALVE CORPORATION,2,FY18-22 MYP; FY23-27 MYP,0.5,5,(unmapped)
"STS OPERATING, INC.",3,FY13-17 MYP; FY18-22 MYP; FY23-27 MYP,0.5,10,(unmapped)
BESTWELD INC,2,FY18-22 MYP; FY23-27 MYP,0.5,6,(unmapped)
"U.S. Pioneer, L.L.C.",2,FY18-22 MYP; FY23-27 MYP,0.4,3,(unmapped)
"SCHOELLHORN - ALBRECHT MACHINE CO., INC.",2,FY13-17 MYP; FY18-22 MYP,0.4,9,(unmapped)
"CP INDUSTRIES HOLDINGS, INC",2,FY18-22 MYP; FY23-27 MYP,0.4,6,(unmapped)
"TEATR MUZYKI I POEZII P/R E.KAMBUROVOI, GBU",2,FY13-17 MYP; FY18-22 MYP,0.4,4,(unmapped)
"HDT EXPEDITIONARY SYSTEMS, INC.",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,0.4,7,(unmapped)
"US, INC.",2,FY13-17 MYP; FY18-22 MYP,0.4,8,(unmapped)
DEBAN ENTERPRISES INC,3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,0.4,9,(unmapped)
"TRAC REGULATOR CO., INC.",2,FY18-22 MYP; FY23-27 MYP,0.4,4,(unmapped)
"TABET MANUFACTURING COMPANY, INC.",2,FY13-17 MYP; FY18-22 MYP,0.4,6,(unmapped)
"JOHNSON BRASS & MACHINE FOUNDRY, INC.",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,0.4,8,(unmapped)
"KULITE SEMICONDUCTOR PRODUCTS, INC",2,FY13-17 MYP; FY18-22 MYP,0.4,10,(unmapped)
PEMCO-NAVAL ENGINEERING WORKS INC,2,FY18-22 MYP; FY23-27 MYP,0.4,7,(unmapped)
"ANDERSON METAL INDUSTRIES, INC.",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,0.3,10,(unmapped)
MEGATOR CORPORATION,2,FY13-17 MYP; FY18-22 MYP,0.3,10,(unmapped)
MURRAY BENJAMIN ELECTRIC CO LLC,2,FY18-22 MYP; FY23-27 MYP,0.3,3,(unmapped)
"DONALDSON COMPANY, INC.",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,0.3,10,(unmapped)
"POWERSTAR, INC.",2,FY11 single-ship; FY13-17 MYP,0.3,5,(unmapped)
U S INC,2,FY11 single-ship; FY13-17 MYP,0.3,6,(unmapped)
AKRON BRASS COMPANY,2,FY11 single-ship; FY13-17 MYP,0.3,6,(unmapped)
SHERBURN ELECTRONICS INC.,2,FY18-22 MYP; FY23-27 MYP,0.3,7,(unmapped)
RHINESTAHL CORPORATION,2,FY11 single-ship; FY13-17 MYP,0.3,4,(unmapped)
JACKSON PLATING CO.,2,FY11 single-ship; FY13-17 MYP,0.3,5,(unmapped)
TURNBULL LLC,2,FY13-17 MYP; FY18-22 MYP,0.3,3,(unmapped)
XYLEM INC.,3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,0.3,7,(unmapped)
YOUNG ENGINEERING COMPANY INC.,3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,0.3,6,(unmapped)
"STOCKERT, LAURA",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,0.3,4,(unmapped)
SPACE MACHINE & ENGINEERING CORP.,2,FY13-17 MYP; FY18-22 MYP,0.3,4,(unmapped)
FLOWSERVE CORPORATION,2,FY11 single-ship; FY13-17 MYP,0.2,4,(unmapped)
"JAL ENTERPRISES, INC.",2,FY11 single-ship; FY13-17 MYP,0.2,5,(unmapped)
"DETROIT SWITCH, INC.",2,FY13-17 MYP; FY18-22 MYP,0.2,8,(unmapped)
"IMPRES TECHNOLOGY SOLUTIONS, INC.",2,FY11 single-ship; FY13-17 MYP,0.2,3,(unmapped)
ULTRA ELECTRONICS OCEAN SYSTEMS INC,2,FY11 single-ship; FY13-17 MYP,0.2,5,(unmapped)
"EFFORT FOUNDRY, INC.",2,FY11 single-ship; FY13-17 MYP,0.2,5,(unmapped)
SIEMENS INDUSTRY INC.,2,FY11 single-ship; FY13-17 MYP,0.2,2,(unmapped)
Ralph & Dorothy Moore,2,FY11 single-ship; FY13-17 MYP,0.2,5,(unmapped)
WATTS WATER TECHNOLOGIES INC,2,FY13-17 MYP; FY18-22 MYP,0.2,7,(unmapped)
FORENTA L.P.,2,FY13-17 MYP; FY18-22 MYP,0.2,7,(unmapped)
"HEILIND MIL-AERO, LLC",2,FY13-17 MYP; FY18-22 MYP,0.2,4,(unmapped)
SHIELD TECHNOLOGIES CORPORATION,2,FY11 single-ship; FY13-17 MYP,0.2,4,(unmapped)
D. W. BOYD CORPORATION,2,FY11 single-ship; FY13-17 MYP,0.2,3,(unmapped)
