LI,Class,Category,Bucket,FY,Best Value $M,Source PB,All Vintages
1045,Columbia,PLANS,Plans / SIB,2026,1407.249,PB2026,"PB2023=151.000, PB2024=151.000, PB2025=1442.788, PB2026=1407.249"
1045,Columbia,PLANS,Plans / SIB,2027,784.679,PB2025,"PB2023=149.894, PB2024=149.894, PB2025=784.679"
1045,Columbia,PLANS,Plans / SIB,2028,608.159,PB2025,"PB2024=20.361, PB2025=608.159"
1045,Columbia,PLANS,Plans / SIB,2029,22.736,PB2025,PB2025=22.736
1045,Columbia,PLANS (1),Plans / SIB,2025,2077.189,PB2027,PB2027=2077.189
1045,Columbia,PLANS (1),Plans / SIB,2026,1692.249,PB2027,PB2027=1692.249
1045,Columbia,PLANS (1),Plans / SIB,2027,809.679,PB2027,PB2027=809.679
1045,Columbia,PLANS (1),Plans / SIB,2028,1018.316,PB2027,PB2027=1018.316
1045,Columbia,PLANS (1),Plans / SIB,2029,709.136,PB2027,PB2027=709.136
1045,Columbia,PLANS (1),Plans / SIB,2030,624.179,PB2027,PB2027=624.179
1045,Columbia,PLANS (1),Plans / SIB,2031,631.272,PB2027,PB2027=631.272
1045,Columbia,TOTAL: Advance Procurement / Obligation Authority,Grand Total,2020,1820.927,PB2022,PB2022=1820.927
1045,Columbia,TOTAL: Advance Procurement / Obligation Authority,Grand Total,2021,1253.175,PB2023,"PB2022=1253.175, PB2023=1253.175"
1045,Columbia,TOTAL: Advance Procurement / Obligation Authority,Grand Total,2022,1773.980,PB2024,"PB2022=1643.980, PB2023=1773.980, PB2024=1773.980"
1045,Columbia,TOTAL: Advance Procurement / Obligation Authority,Grand Total,2023,2778.553,PB2025,"PB2023=2778.553, PB2024=2778.553, PB2025=2778.553"
1045,Columbia,TOTAL: Advance Procurement / Obligation Authority,Grand Total,2024,5345.734,PB2026,"PB2023=3374.988, PB2024=3390.734, PB2025=3390.734, PB2026=5345.734"
1045,Columbia,TOTAL: Advance Procurement / Obligation Authority,Grand Total,2025,6215.939,PB2027,"PB2023=3881.211, PB2024=3932.378, PB2025=6215.939, PB2026=6215.939, PB2027=6215.939"
1045,Columbia,TOTAL: Advance Procurement / Obligation Authority,Grand Total,2026,5350.766,PB2027,"PB2023=3479.344, PB2024=3481.110, PB2025=5151.895, PB2026=5065.766, PB2027=5350.766"
