program,piid,work_type,vendor_uei,vendor_name,n_records,dollars
ddg,N0002418C2307,electrical,HLE1E2KALJA5,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC",2,1.35
ddg,N0002418C2307,electrical,PG7AZJQMRL27,"ASCO POWER TECHNOLOGIES, L.P.",2,0.698
ddg,N0002418C2307,electrical,C7QHHMJEALN1,"MONROE CABLE COMPANY, INC., THE",1,4.845
ddg,N0002418C2307,electrical,CMANNFGEFNP6,WARD LEONARD CT LLC,1,3.328
ddg,N0002418C2307,electrical,DY2JXQ22MA14,KSARIA SERVICE CORPORATION,1,0.068
ddg,N0002418C2307,electrical,MKGCWL2DHBT4,MARINE TECH WIRE & CABLE INC,1,0.374
ddg,N0002418C2307,hvac,W8PTMRME1496,LEONARDO SPA,59,27.844
ddg,N0002418C2307,hvac,SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",34,23.432
ddg,N0002418C2307,hvac,DTCND1MN7J15,ASPEQ HEATING GROUP LLC,21,4.587
ddg,N0002418C2307,hvac,XEQ3L57D2J24,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,11,106.733
ddg,N0002418C2307,hvac,DD7KGPMP93C1,HEH HOLDINGS LLC,9,1.577
ddg,N0002418C2307,hvac,F1RLRDZK2KC9,HOWDEN NORTH AMERICA INC.,9,3.55
ddg,N0002418C2307,hvac,EREJZHBM5MU1,SPIRAX-SARCO ENGINEERING PLC,7,0.922
ddg,N0002418C2307,hvac,TKJ1TW2YRNL3,MEGGITT PLC,7,3.273
ddg,N0002418C2307,hvac,E57FS3E4CQ19,ENGINEERED COIL COMPANY,6,2.226
ddg,N0002418C2307,hvac,FPCZK4D8LXU5,HOWDEN NORTH AMERICA INC,6,0.395
ddg,N0002418C2307,hvac,FLMQAKFEMG64,INDEECO LLC,2,0.433
ddg,N0002418C2307,hvac,ZTPLJJTAD2F4,HOWDEN AMERICAN FAN COMPANY,1,0.14
ddg,N0002418C2307,machining,D44RA79E3K57,PRECISION PRODUCTS INC,26,3.296
ddg,N0002418C2307,machining,JRZ1WHXAKBM3,GENERAL ELECTRIC COMPANY,18,65.947
ddg,N0002418C2307,machining,PM2FDF7CCNC2,"MARISCO, LTD.",18,17.156
