rank,uei,vendor,amount_M_lifetime,primary_naics,naics_desc,naics_2digit,naics_4digit,naics_sector_label,cage,country,lookup_status
23,ZA7HPV7XXUE3,MERRILL TOOL HOLDING COMPANY,95.8757,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing ,33,3329,Manufacturing — Machinery/Electronics/Transport Eq,6PH79,USA,ok
24,ZTD6PU46ALU3,"INDRA SISTEMAS, SOCIEDAD ANONIMA",94.1426,541330,Engineering Services,54,5413,Professional/Scientific/Technical Services,0177B,ESP,ok
25,WJZCK5XK7UC7,GOLDEN STAR TECHNOLOGY INC,91.8967,,,,,Unknown,,,not_found
26,J51ULX3CNCZ4,MERCURY SYSTEMS INC,89.2147,334111,Electronic Computer Manufacturing ,33,3341,Manufacturing — Machinery/Electronics/Transport Eq,3X893,USA,ok
27,YGXMYQKELLZ4,"HANWHA SYSTEMS CO., LTD.",84.4424,,,,,Unknown,,,not_found
28,XXP4PLFFFGK9,"L3 TECHNOLOGIES, INC.",77.5626,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",33,3345,Manufacturing — Machinery/Electronics/Transport Eq,09JB5,USA,ok
29,F4XLUSKN1KX1,"ADVANCED INDUSTRIES, INC.",69.8856,332439,Other Metal Container Manufacturing ,33,3324,Manufacturing — Machinery/Electronics/Transport Eq,14555,USA,ok
30,HLBNNA4CPY83,CAES SYSTEMS LLC,69.0254,334419,Other Electronic Component Manufacturing ,33,3344,Manufacturing — Machinery/Electronics/Transport Eq,1BWN1,USA,ok
31,LGRAV9DLD7D4,"ANAREN, INC.",68.7033,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,33,3342,Manufacturing — Machinery/Electronics/Transport Eq,31597,USA,ok
32,HMN8Q5FPFFD3,COBHAM PLC,67.0151,,,,,Unknown,,,not_found
33,GU4MZLMEJN94,"SEYER INDUSTRIES, INC.",63.0609,332710,Machine Shops,33,3327,Manufacturing — Machinery/Electronics/Transport Eq,19494,USA,ok
34,JT4PZH4BX5T9,RED RIVER TECHNOLOGY LLC,62.2857,541519,Other Computer Related Services,54,5415,Professional/Scientific/Technical Services,04MB1,USA,ok
35,F32RBQ3CHAG9,ROLLS-ROYCE HOLDINGS PLC,56.0347,,,,,Unknown,,,not_found
36,NXGLEN3CK1N6,"DATACON, INC.",54.5288,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing ,33,3344,Manufacturing — Machinery/Electronics/Transport Eq,9M789,USA,ok
37,YKYBK6MSAKX5,GMT CORPORATION,52.8255,,,,,Unknown,,,not_found
38,DCV2KUEL85Z4,SENER GRUPO DE INGENIERIA SOCIEDAD ANONIMA,51.2183,,,,,Unknown,,,not_found
39,Z89SS59265U9,ESPEY MFG. & ELECTRONICS CORP.,49.6234,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing ,33,3359,Manufacturing — Machinery/Electronics/Transport Eq,20950,USA,ok
40,ZW3UMG9YVNA9,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC.",49.3176,335313,Switchgear and Switchboard Apparatus Manufacturing ,33,3353,Manufacturing — Machinery/Electronics/Transport Eq,3FEQ2,USA,ok
41,SQ2DSCE69F15,TELEDYNE TECHNOLOGIES INCORPORATED,48.7897,334419,Other Electronic Component Manufacturing ,33,3344,Manufacturing — Machinery/Electronics/Transport Eq,1NUQ8,USA,ok
42,GKPGD2F1LKL5,"ELLWOOD GROUP, INC.",48.5818,332111,Iron and Steel Forging ,33,3321,Manufacturing — Machinery/Electronics/Transport Eq,6L572,USA,ok
43,E86GJS762JJ5,TOTAL SA,47.2477,424710,Petroleum Bulk Stations and Terminals ,42,4247,Wholesale Trade,FAQE4,FRA,ok
