Subawardee UEI,Program,Subawardee Vendor Name,Parent UEI,Parent Vendor Name,Parent UEI(s)
GJ9JBJ7B7FB5,DDG,G.S. BLODGETT CORPORATION,GQ6ADGRCXZ54,"MIDDLEBY CORPORATION, THE",GQ6ADGRCXZ54
EEJPJ342F3P1,DDG,"TABET MANUFACTURING COMPANY, INC.",EEJPJ342F3P1,TABET MANUFACTURING CO INC,EEJPJ342F3P1
CPSRQJC6C379,DDG,"SECURE COMPONENTS, LLC",,,
FNQSY3S2MCM9,DDG,"STS OPERATING, INC.",RU42J22YFWW5,"STS OPERATING, INC.",RU42J22YFWW5
TAB4FBLR5UM1,DDG,ANIXTER INC.,HT2SC8NC87E1,ANIXTER INTERNATIONAL INC.,HT2SC8NC87E1; LU7KP9UJJ5L7
HA3GWLK3JK58,DDG,Evoqua Water Technologies LLC,WMKNZ361LYM4,"EVOQUA WATER TECHNOLOGIES, LLC",WMKNZ361LYM4
LSGYNGHKB863,DDG,DEBAN ENTERPRISES INC,,,
GNFJGT9MKJW5,DDG,"CONNECTICUT VALLEY INDUSTRIES, LLC",,,
FX3GHG9B79N5,DDG,"TC/AMERICAN MONORAIL, INC.",FX3GHG9B79N5,"TC/AMERICAN MONORAIL, INC.",FX3GHG9B79N5
GCDKJTM3RJX6,DDG,"RAPID DEPLOYABLE SYSTEMS, INC",GCDKJTM3RJX6,"RAPID DEPLOYABLE SYSTEMS, INC",GCDKJTM3RJX6
QH1NZM6TK6C9,DDG,"TEATR MUZYKI I POEZII P/R E.KAMBUROVOI, GBU",,,
HQYTCMF5RGE4,DDG,SHERBURN ELECTRONICS INC.,HQYTCMF5RGE4,SHERBURN ELECTRONICS INC.,HQYTCMF5RGE4
HYN4GBTR6TF3,DDG,GULF COAST MARINE SUPPLY CO,HYN4GBTR6TF3,GULF COAST MARINE SUPPLY COMPANY,HYN4GBTR6TF3
