Program,Prime PIID,Subawardee UEI,Subawardee Vendor Name,Reports,Distinct Subaward Numbers,Correction Actions,First Action,Last Action,Activity Span (Years),Net Subaward $M (FY2026$)
DDG,N0002411C2307,YVDFW51N3N61,"WALDO BROTHERS, INC.",,1,,,,,
DDG,N0002411C2307,ZE1KT2MPBGM3,"HARDING COMPANY, INC",,1,,,,,
DDG,N0002411C2307,RLXQHCXFT513,CUNICO CORPORATION,,1,,,,,
DDG,N0002411C2307,FCK2D4PSV1L2,"DOVER ENERGY, INC.",,1,,,,,
DDG,N0002411C2307,QEP4TKLKQDV3,"U.S. PIONEER, L.L.C.",,1,,,,,
DDG,N0002411C2307,KLDTZDR12ZB7,JUNIPER ELBOW CO. INC.,,1,,,,,
DDG,N0002411C2307,CJF6S4UR1LM8,EVOQUA WATER TECHNOLOGIES LLC,,1,,,,,
DDG,N0002411C2307,LFVJABJDQVZ9,"W. & O. SUPPLY, INC.",,1,,,,,
DDG,N0002411C2307,E383LRP25MY6,YOUNG ENGINEERING COMPANY INC.,,1,,,,,
DDG,N0002411C2307,N16ET1YJ6QZ3,"ROMAC INDUSTRIES, INC.",,1,,,,,
DDG,N0002411C2307,TC76NMCGN4F4,"DISTRIBUTION INTERNATIONAL SOUTHWEST, INC.",,1,,,,,
DDG,N0002411C2307,HLVNZXU8EAM1,POWER PARAGON INC,,1,,,,,
DDG,N0002411C2307,XECCFU26TTP9,"Moniteq, Inc.",,1,,,,,
DDG,N0002411C2307,UES5F4AAZJK5,"DONALDSON COMPANY, INC.",,1,,,,,
DDG,N0002411C2307,SVHJHMJH65S8,ULTRA ELECTRONICS OCEAN SYSTEMS INC,,1,,,,,
DDG,N0002411C2307,SLTUM1DV4433,"PARASENSE, INC",,1,,,,,
DDG,N0002411C2307,HLFDNJU7KXJ1,BOGUE SYSTEMS INC.,,1,,,,,
DDG,N0002411C2307,DYJZZ9DANLM3,Ralph & Dorothy Moore,,1,,,,,
DDG,N0002411C2307,FNQARYRJJEL5,"COSPOLICH, INC.",,1,,,,,
DDG,N0002411C2307,WWMME88ERQG5,"BESTWELD, INC.",,1,,,,,
DDG,N0002411C2307,H1PAVTLJBJ88,TYCO FIRE PRODUCTS LP,,1,,,,,
DDG,N0002411C2307,CAKCE9S4WL78,"AZTEC GLOBAL SOLUTIONS, INC.",,1,,,,,
DDG,N0002411C2307,NL7RNBHWHJQ1,DRS TECHNOLOGIES CANADA LTD,,1,,,,,
DDG,N0002411C2307,UR5TFK3LAVL5,FEDERAL RESOURCES SUPPLY COMPANY,,1,,,,,
DDG,N0002411C2307,NC39YCMEXVJ8,COLUMBUS MCKINNON CORPORATION,,1,,,,,
DDG,N0002411C2307,VHCPBNRMLK33,"ASSOCIATED FOOD EQUIPMENT AND SUPPLIES, INC.",,1,,,,,
DDG,N0002411C2307,LQP7LJVDX6M6,"WESCO DISTRIBUTION, INC.",,1,,,,,
DDG,N0002411C2307,JJRDPJY9GQA8,"FLETCHER CONSTRUCTION COMPANY, INC.",,1,,,,,
DDG,N0002411C2307,ZSJFXM833NA3,Xerox Corporation,,1,,,,,
DDG,N0002411C2307,CVMQHCRDBVT7,"KEVIN GROS CONSULTING & MARINE SERVICES, INC.",,1,,,,,
DDG,N0002411C2309,LCZDJ6YPNYG6,MARTIN ENERGY SERVICES LLC,,8,,,,,
DDG,N0002411C2309,KCYPSYNH1M94,US JOINER LLC,,5,,,,,
DDG,N0002411C2309,ZMBFGXHLGLM3,BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,,12,,,,,
DDG,N0002411C2309,SSD8KRDXKG46,"HILLER COMPANIES, INC., THE",,4,,,,,
DDG,N0002411C2309,DQ35GXAUTW61,"INDUSTRIAL CORROSION CONTROL, INC.",,10,,,,,
DDG,N0002411C2309,EDNNTCM7SUS8,"INTERNATIONAL MARINE AND INDUSTRIAL APPLICATORS, LLC",,1,,,,,
DDG,N0002411C2309,ZA1KMNAJMVT3,SURFACE TECHNOLOGIES CORPORATION,,5,,,,,
DDG,N0002411C2309,J3AFGKXWYK73,YORK INTERNATIONAL CORPORATION,,8,,,,,
DDG,N0002411C2309,KNEFNMWXBK39,JO-KELL INC.,,5,,,,,
DDG,N0002411C2309,ZW3UMG9YVNA9,L-3 COMMUNICATIONS WESTWOOD CORPORATION,,4,,,,,
DDG,N0002411C2309,QNF5KM7YJSN7,"SOUTHCOAST WELDING & MANUFACTURING, LLC",,8,,,,,
DDG,N0002411C2309,D44RA79E3K57,"PRECISION PRODUCTS, INC.",,3,,,,,
DDG,N0002411C2309,JNC1BUEVV3B9,"JGILS, LLC",,6,,,,,
DDG,N0002411C2309,HLVBPCA2LH41,ROLLS-ROYCE MARINE NORTH AMERICA INC.,,6,,,,,
