Subawardee UEI,Subawardee Vendor Name,Distinct PIIDs,Distinct Programs,Distinct Subaward Numbers
E86EYMJR23D1,"MELLINGER ENGINEERING, INCORPORATED",3,2,18
Z9P3GJBTJUT5,"METALS USA PLATES AND SHAPES, INC.",1,1,1
QVMBB4UCMEH4,"ELECTRO MECHANICAL SPECIALISTS, LLC",4,2,19
FFZLXPAQCMD8,WHITING DOOR MANUFACTURING CORP.,4,1,26
JC42EBJ5NFJ1,HAMILTON SUNDSTRAND CORPORATION,4,2,22
HY9JJE3F4R25,"WOLLASTON ALLOYS, INC.",2,2,6
RBJHSL4MK9M8,LANXESS SOLUTIONS US INC.,2,1,2
YVBHN7GKLQ44,"GLENAIR, INC.",4,2,17
CABCB9XBJHK5,"APOLLO PROFESSIONAL SOLUTIONS, INC.",3,2,26
HMBSX7Z72UK4,"WESTLAND TECHNOLOGIES, INC.",7,3,37
ZJYJB7MBFE56,CRANE PUMPS & SYSTEMS PFT CORP,6,3,24
FH39KDCYBK21,"Htp Meds, LLC",2,2,9
JL9NMM3YALQ5,"TAD PGS, INC.",1,1,12
K6LKL4BYZGZ6,TRILOGIC SYSTEMS CORPORATION,5,2,30
QV38GMJUBJQ3,L3HARRIS MARITIME SERVICES INC,4,2,9
F3XKPA82MHQ5,"NAG, LLC",3,2,17
Y9KMLM1AFU63,ROTRON INCORPORATED,5,2,16
WJ1XMJMTSYL9,"PAROSCIENTIFIC, INC.",3,2,16
LGVPVLMRHH51,"W. & O. SUPPLY, INC.",3,1,30
MTNSMCNJCNE1,"LJM PACKAGING CO., INC.",1,1,3
H8CSTCGGDD87,STRYTEN ENERGY LLC,1,1,1
MSFLXVQVJMG4,"PEERLESS INSTRUMENT CO., INC.",1,1,26
LYV8XEV314F6,UNIVERSAL MANUFACTURING CORP.,4,3,8
RG8HFHKSV215,PDS ENGINEERING & CONSTRUCTION INC,2,2,3
D1L2HV3GLLY3,TIOGA PIPE INC,3,2,6
NMHFLDYJJ4C5,LOCKHEED MARTIN CORPORATION,3,2,9
YWX1QLBKSQD7,"PRC - DESOTO INTERNATIONAL, INC.",4,2,34
N6JZARL64EW5,"MCKINSEY & COMPANY, INC. WASHINGTON D.C.",1,1,1
QVTKQ7LJE196,M. T. DAVIDSON COMPANY,3,1,27
D3QEMKB2X4N5,LEXAIR INC,3,2,4
LFNVWPJYQKH4,COASTAL DESIGN LLC,4,2,32
JLZUKW73FAM9,"Paradigm Precision Holdings, LLC",2,1,9
QEP4TKLKQDV3,"U.S. PIONEER, L.L.C.",7,3,47
HA3UFSU8FN75,"L3 TECHNOLOGIES, INC.",4,2,7
K151N8EJE998,"CLIMAX PORTABLE MACHINE TOOLS, INC.",1,1,5
UE9QJD4KK1L6,"LEIDOS, INC.",2,2,6
UK6NAHCH8459,"CAROLINA POWER SYSTEMS OF SUMTER, INC.",3,1,19
CG86N1ZC42B8,Ammcon Corp.,2,2,42
PWK4GDMMEAQ8,AMETEK SCP INC,2,2,20
NXGLEN3CK1N6,"DATACON, INC.",4,2,14
KWHXKLAL87T5,"IN-PLACE MACHINING COMPANY, LLC",3,3,6
Y9LLF354DH36,"BIRD-JOHNSON PROPELLER COMPANY, LLC",1,1,1
GFBTEVXB65X7,"PCC ROLLMET, INC.",3,2,13
GYMLL74UL5Q8,"HYDRASEARCH COMPANY, LLC",2,2,33
M553NMG2GTR6,NORTECH SYSTEMS INC,2,1,2
KYFUJ83L3UY9,CONE DRIVE OPERATIONS INC.,4,2,9
Z19UP1U6FMT1,INDUSTRIAL TRANSFER AND STORAGE INC.,4,2,13
EYMMLMHBMSL5,"SGL AUTOMATION, LLC",1,1,2
T4RCBDVMPVM4,"MEGGITT DEFENSE SYSTEMS, INC.",3,1,13
N16ET1YJ6QZ3,"ROMAC INDUSTRIES, INC.",4,3,24
EDJPMQN1HSJ1,"MSA SAFETY SALES, LLC",3,3,19
G7SQBKZNPRN4,"ACCU-FAB AND CONSTRUCTION, INC.",1,1,9
NQKEVF8KEMP1,PIVOTAL POWER INC,4,1,50
GKPGD2F1LKL5,"ELLWOOD GROUP, INC.",2,1,8
FFL2MLNT4FN1,GARDNER DENVER NASH LLC,2,2,4
QVJEVJHK3G31,"AGGREKO, LLC",4,2,26
T5C6JNLVSC17,HYDRATIGHT OPERATIONS INC,2,2,7
XJWLF38U74P3,FLUID HANDLING LLC,3,3,3
FYS6F3284LN3,VELAN VALVE CORP.,2,1,22
GFCUEMH2CGN1,RIVERHEAD BUILDING SUPPLY CORP.,2,1,21
U864F3HRME53,GE ENERGY POWER CONVERSION USA INC.,1,1,1
LD7YXEQNEKZ3,"LINCOLN ELECTRIC AUTOMATION, INC.",2,2,4
NBM4G4SAFQM3,"QUALITY PERFORMANCE, INC.",5,1,33
RK6GKSXPC8W7,ARNOLD MAGNETICS CORPORATION,5,2,16
QF82VVEDYFC3,"PUROLATOR FACET, INC.",2,2,9
