uei,name,dollars_total_$M,dollars_submarines_$M,dollars_ddg_$M,records,foreign,enriched,sam_match,reg_status,org_structure_desc,primary_naics_6,primary_naics_4,naics_count,all_naics_6,psc_count,psc_list,immediate_owner,highest_owner,cage,exclusion,business_types
M35SG6PKLJB3,"ALASKAN COPPER COMPANIES, INC.",1.51,1.51,0.0,15,no,yes,Active,Active,Manufacturer of Goods,332996,3329,2,332996;332999,0,,,,5M429,N,For Profit Organization;Business or Organization;Manufacturer of Goods
XDBJX5QWAM86,"SAI SYSTEMS INTERNATIONAL, INC.",1.501,1.501,0.0,21,no,yes,Inactive,Inactive,,541511,5415,4,423430;541511;541512;541519,0,,,,0HJB3,N,Minority-Owned Business;Self Certified Small Disadvantaged Business;For Profit Organization;Women-Owned Small Business;Women-Owned Business;Business or Organization;Asian-Pacific American Owned
KB45YQR3KSL5,"MISSISSIPPI SECURITY POLICE, INC.",1.477,0.0,1.477,4,no,yes,Active,Active,,561612,5616,3,485999;561210;561612,3,R430;S201;S206,,,3QNV4,N,Minority-Owned Business;Self Certified Small Disadvantaged Business;For Profit Organization;Women-Owned Small Business;Women-Owned Business;Business or Organization;Native American Owned
JG73AVR7NUN4,"HYDRATIGHT OPERATIONS, INC.",1.472,1.472,0.0,5,no,yes,Inactive,Inactive,Manufacturer of Goods,333517,3335,1,333517,2,3419;3450,ACTUANT CORPORATION,,7NA67,N,For Profit Organization;Business or Organization;Manufacturer of Goods
C1CCV2BRQJ26,MARINE EQUIPMENT AND ENGINEERING SOLUTIONS LLC,1.466,1.466,0.0,8,no,yes,Inactive,Inactive,Limited Liability Company,423830,4238,5,333995;335931;423830;488390;811310,0,,,,7TKG3,N,For Profit Organization;Business or Organization;Limited Liability Company
DSBBDM96K6H6,RACER MACHINERY INTERNATIONAL INC,1.461,1.461,0.0,7,yes,yes,Inactive,Inactive,Manufacturer of Goods,333517,3335,5,333514;333515;333517;333519;811310,10,3405;3408;3411;3413;3416;3417;3418;3419;J034;K034,,,3AA35,N,For Profit Organization;Business or Organization;Manufacturer of Goods
YA7EN5YYJYS8,"APOLLO PROFESSIONAL SOLUTIONS, INC.",1.457,1.457,0.0,23,no,yes,NO_RECORD,,,,,0,,0,,,,,,
UZMKDFWHKTC9,"Maro Display, Inc.",1.453,1.453,0.0,11,no,yes,Inactive,Inactive,Subchapter S Corporation,326113,3261,1,326113,0,,,,7US80,N,Self Certified Small Disadvantaged Business;For Profit Organization;Business or Organization;Manufacturer of Goods;Subchapter S Corporation
G9N1X873CYJ6,TIMKEN US LLC,1.423,0.0,1.423,8,no,yes,Active,Active,Manufacturer of Goods,332991,3329,1,332991,0,,,,4F549,N,For Profit Organization;Business or Organization;Manufacturer of Goods
KHK8QYLFGLU1,Rolls-Royce Corporation,1.422,0.0,1.422,4,no,yes,Active,Active,Manufacturer of Goods,541330,5413,3,488190;541330;541715,1,2840,ROLLS-ROYCE NORTH AMERICA HOLDINGS INC.,ROLLS-ROYCE HOLDINGS PLC,63005,N,Foreign Owned;For Profit Organization;Business or Organization;Manufacturer of Goods
