supplier,sub_key,total_sub_dollars,n_distinct_primes,primary_capability,primes
"FURUNO U.S.A., INC.",NEY4CGCE9N95,68585.75,1,other_unclassified,"LEIDOS, INC."
"BRADSHAW ENGINEERING AND TECHNICAL SERVICES, LLC",D7MWCT6JFG49,67585.71,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"Qar Industries, Inc.",TSFCTZ42Y8L1,65084.46,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
LEGACY COMPONENTS LLC,F45YC9HJFN65,63096.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,X6KEFGLHSJX7,62952.0,1,other_unclassified,THE JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY LLC
"Circor International, Inc.",U45EH8WMNF55,61926.45,1,other_unclassified,HUNTINGTON INGALLS INC
CREATION TECHNOLOGIES INC,WNKMDMALLWS1,60000.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"DAYTON T. BROWN, INC.",GN84UHWZJMR8,59290.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
CDW Government LLC,PHZDZ8SJ5CM1,58472.88,1,c2_comms,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
REAL-TIME INNOVATIONS INC,H293LTV8R2U3,57200.0,1,autonomy_software,THE JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY LLC
VANGUARD DELTA LLC,FKSEU2SA3NC7,55400.0,1,autonomy_software,VIGOR WORKS LLC
"PRC - DESOTO INTERNATIONAL, INC",GMEQMTFR93K3,54790.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
HEXCEL CORP,U6F2GHCNNH47,54499.79,1,materials_components,VIGOR WORKS LLC
"Engineered Syntactic Systems, LLC",U6NDHNBRRXZ1,53514.79,1,propulsion_power,SERCO-IPS CORPORATION
"CURBELL, INC.",ZL9LGKYJWJD8,53161.08,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"KMS SOLUTIONS, LLC",ZQ7JL84XKHS3,53014.08,1,other_unclassified,SERCO INC
SAMTECH LLC,FKSAD5W3F296,52410.54,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
TTI INC.,U6JRN865H4E3,51863.78,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
ONEAL INDUSTRIES INC,USNGPAZNVLM3,51167.5,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
EPSILON C5I INC,KFP1XYK24DZ8,50000.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"GLENN MACHINE WORKS, INC.",PMX1NCADWBU9,49925.0,1,other_unclassified,"OASIS SYSTEMS, LLC"
DELA TECHNOLOGY CORPORATION,U9EMJNLJY354,47945.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"IMPERATORE STEEL ERECTORS, INC.",DLHKWC7ZCJR9,46929.0,1,materials_components,SERCO-IPS CORPORATION
"A. G. Miller Company, Inc.",ENCZXR189JF7,46928.4,1,materials_components,SERCO INC
"THYSSENKRUPP MATERIALS, LLC",F55KDRSNXK95,46893.69,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"NORGEM, INC.",MYQWSYQJJ9G7,46707.5,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
EMCORE CHICAGO INERTIAL CORPORATION,T6FJQXNNZ5L8,44596.34,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
WHALLEY PRECISION INC,LPNKDLXMN8E3,43036.0,1,materials_components,SERCO INC
"HYDRACON COMPANY, INC",GHK7AHB4W543,42000.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
BK MANUFACTURING CO INC,HQMJUQW8CQF8,41769.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"ARACOM REBUILDERS, INC.",PJL5QPGCM184,40800.53,1,other_unclassified,HUNTINGTON INGALLS INC
MERLIN MARINE CORP,UFAXCAT3NAR7,38291.5,1,other_unclassified,SERCO-IPS CORPORATION
PTX DEFENSE LLC,KCW2X98GQRR9,38250.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
W. O. GRUBB STEEL ERECTION INCORPORATED,XH4EBNV66JW5,38000.0,1,materials_components,HUNTINGTON INGALLS INC
"DEXTER APACHE HOLDINGS, INC.",M1DFCE4G2PM8,37780.0,1,other_unclassified,"OASIS SYSTEMS, LLC"
"HILLPRO, LLC",CHKUMRQFRMT8,37502.37,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
BERKSHIRE HATHAWAY INC.,UU26FKF1MML6,37236.41,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
